id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8166160,Rental unit in Florence · ★4.77 · 1 bedroom · 4 beds · 1 bath,5471208,Alessandro,,Rifredi,43.79354,11.23438,Entire home/apt,97,3,119,2023-08-15,1.22,5,3,13,
8168584,Home in Florence · ★4.69 · 2 bedrooms · 3 beds · 1 bath,24859316,Isa,,Centro Storico,43.76819,11.24946,Entire home/apt,125,2,244,2023-08-13,2.51,1,216,43,
8182107,Rental unit in Florence · ★4.90 · 2 bedrooms · 3 beds · 1 bath,39492081,Federico,,Centro Storico,43.77428,11.24212,Entire home/apt,76,3,331,2023-09-11,3.40,1,202,55,
8199954,Rental unit in Florence · ★4.64 · 1 bedroom · 3 beds · 1 bath,43248612,Enrico,,Campo di Marte,43.78847,11.27041,Entire home/apt,70,2,47,2023-07-24,0.62,2,0,2,
8200290,Rental unit in Florence · ★4.82 · 1 bedroom · 1 bed · 1 bath,43248612,Enrico,,Campo di Marte,43.78804,11.27049,Entire home/apt,55,2,139,2022-10-30,1.76,2,0,8,
8204117,Rental unit in Florence · 1 bedroom · 1 bed · 1 bath,43263949,Francesca,,Centro Storico,43.78816,11.23327,Private room,54,1,1,2016-01-05,0.01,1,0,0,
8222956,Rental unit in Florence · ★4.89 · 2 bedrooms · 4 beds · 2 baths,5104015,Francesco,,Centro Storico,43.7762,11.2552,Entire home/apt,296,2,84,2023-08-23,0.89,13,305,11,
8261511,Loft in Florence · ★4.81 · 1 bedroom · 1 bed · 1 bath,43565965,Francesco,,Centro Storico,43.76712,11.24579,Entire home/apt,81,5,98,2023-08-24,1.01,1,14,22,
8314408,Rental unit in Florence · ★4.40 · 2 bedrooms · 4 beds · 1 bath,4156491,Apartments Florence,,Centro Storico,43.77245,11.26427,Entire home/apt,250,3,5,2017-09-29,0.06,97,0,0,
8314500,Rental unit in Florence · ★4.62 · 2 bedrooms · 2 beds · 1 bath,1425302,Silvia,,Centro Storico,43.78104,11.25918,Entire home/apt,87,2,162,2023-07-23,1.75,1,207,7,
8325387,Rental unit in Florence · ★4.86 · 2 bedrooms · 3 beds · 1 bath,28846712,Hanna & Andrea,,Centro Storico,43.76476,11.26275,Entire home/apt,104,1,405,2023-09-09,4.19,1,126,24,
8346137,Rental unit in Florence · ★4.97 · 2 bedrooms · 3 beds · 1.5 baths,22410058,Pietro,,Centro Storico,43.76845,11.24253,Entire home/apt,156,2,30,2023-09-08,0.31,1,312,10,
8348606,Rental unit in Florence · ★4.62 · 1 bedroom · 1 bed · 1 private bath,15960426,Guidetta,,Gavinana Galluzzo,43.74911,11.2585,Private room,70,1,22,2021-11-28,0.23,6,0,0,
8357951,Rental unit in Florence · ★4.64 · 1 bedroom · 2 beds · 1 bath,44054853,Paola,,Centro Storico,43.777792914614,11.252780550552671,Entire home/apt,82,1,331,2023-09-08,3.41,2,295,65,
8449637,Rental unit in Florence · ★4.72 · 1 bedroom · 3 beds · 1 bath,44482841,Lidia,,Rifredi,43.79014,11.2548,Entire home/apt,85,2,83,2023-08-29,0.92,1,275,23,
8450568,Rental unit in Florence · ★4.68 · 1 bedroom · 1 bed · 1 bath,44486678,Elena,,Centro Storico,43.76214,11.24206,Entire home/apt,80,5,311,2023-08-29,3.23,1,52,38,
8464704,Loft in Florence · ★4.84 · 1 bedroom · 2 beds · 1 bath,6453195,Enrico,,Centro Storico,43.77277,11.24723,Entire home/apt,136,2,338,2023-09-10,3.51,1,35,71,
8476133,Condo in Florence · ★4.58 · 1 bedroom · 1 bed · 1 shared bath,44637319,Lucia,,Campo di Marte,43.78324,11.28059,Private room,40,1,235,2023-09-09,2.42,1,244,23,
8491051,Rental unit in Florence · ★4.95 · 3 bedrooms · 3 beds · 2 baths,32319722,Stefano,,Centro Storico,43.77017,11.24396,Entire home/apt,127,4,60,2023-08-09,0.62,1,212,10,048017LTN1008
8498045,Bed and breakfast in Florence · ★4.67 · 1 bedroom · 2 beds · 1 bath,4839217,Cristina,,Campo di Marte,43.78667,11.27378,Hotel room,140,15,3,2023-05-28,0.22,3,75,1,
