id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
921753477530546288,Rental unit in Bruxelles · ★3.90 · 1 bedroom · 1 bed · 1 bath,15553915,Sam,,Ixelles,50.83795,4.36299,Entire home/apt,80,2,10,2023-08-16,3.75,28,81,10,
921769323980080144,Rental unit in Woluwe-Saint-Lambert · ★4.89 · 1 bedroom · 2 beds · 1 bath,405198279,Isabelle,,Woluwe-Saint-Lambert,50.84398,4.43653,Entire home/apt,68,2,18,2023-09-16,6.92,2,21,18,
921792363152057831,Rental unit in Woluwe-Saint-Lambert · ★4.29 · 1 bedroom · 2 beds · 1.5 baths,521905527,Viviane,,Woluwe-Saint-Lambert,50.855744765861886,4.431522930244971,Entire home/apt,90,3,7,2023-08-24,3.13,1,62,7,
921803100731702725,Rental unit in Etterbeek · ★5.0 · 2 bedrooms · 2 beds · 1 bath,86837586,Matthew,,Etterbeek,50.84013065128599,4.402440078556538,Entire home/apt,100,2,3,2023-09-13,3,1,224,3,
922162355145709276,Camper/RV in Jette · 1 bedroom · 1 bed · 1 bath,522076952,Lucas,,Koekelberg,50.865910694715524,4.329713649878514,Entire home/apt,43,2,0,,,1,178,0,
922184340423342766,Rental unit in Bruxelles · ★4.59 · 1 bedroom · 1 bed · 1.5 baths,70885488,Ibtissam,,Bruxelles,50.8769364,4.3552407,Entire home/apt,72,2,22,2023-09-03,8.80,2,233,22,
922187102221623616,Rental unit in Forest · ★5.0 · 2 bedrooms · 2 beds · 1 bath,8747661,Muriel,,Forest,50.82478290914363,4.332593419721466,Entire home/apt,165,2,12,2023-09-04,6.21,2,26,12,
922199209964411687,Rental unit in Bruxelles · ★4.86 · 1 bedroom · 1 bed · 1 bath,482448558,Laurent,,Bruxelles,50.849470136457086,4.366315844285647,Entire home/apt,104,1,7,2023-09-07,2.63,8,174,7,
922243489226923415,Rental unit in Molenbeek-Saint-Jean · 2 bedrooms · 5 beds · 1 bath,447537241,Gladys,,Molenbeek-Saint-Jean,50.853838197245565,4.315422451096544,Entire home/apt,91,5,1,2023-08-12,0.81,21,251,1,
922246773877747724,Home in Watermael-Boitsfort · 2 bedrooms · 2 beds · 2.5 baths,41817892,Valentine,,Watermael-Boitsfort,50.80277328050843,4.413968158836503,Entire home/apt,150,5,0,,,1,337,0,
922304591731701309,Rental unit in Etterbeek · 1 bedroom · 1 bed · 1 bath,31642298,Axelle,,Etterbeek,50.83360009198823,4.394007043696498,Private room,60,20,0,,,1,0,0,
922433228602147273,Rental unit in Saint-Gilles · ★5.0 · 1 bedroom · 1 bed · 1 bath,124247826,Olivier,,Saint-Gilles,50.83023331660463,4.340306875942453,Entire home/apt,70,3,8,2023-09-04,3.81,1,56,8,
922463030868966979,Rental unit in Schaerbeek · ★5.0 · 2 bedrooms · 2 beds · 1.5 baths,10209034,Pierro,,Schaerbeek,50.849120447307655,4.399459792425366,Entire home/apt,100,2,3,2023-08-28,1.32,2,43,3,
922770281977069448,Rental unit in Saint-Gilles · ★5.0 · 1 bedroom · 1 bed · 1 bath,24212731,Julian,,Saint-Gilles,50.8269136,4.346343699999999,Entire home/apt,100,2,7,2023-09-09,3.00,1,336,7,
922888454757116866,Rental unit in Saint-Gilles · 1 bedroom · 1 bed · 1 bath,9834452,Helena,,Saint-Gilles,50.83354,4.33816,Entire home/apt,140,4,0,,,2,103,0,
922973358683394594,Rental unit in Bruxelles · 1 bedroom · 1 bed · 1 bath,363075385,Amélie,,Bruxelles,50.842968337376654,4.367838220390175,Private room,75,1,0,,,1,336,0,
922991147850337304,Tower in Berchem-Sainte-Agathe · 1 bedroom · 1 bed · 1 bath,139838687,Sandie,,Berchem-Sainte-Agathe,50.860546,4.2919257,Private room,28,5,0,,,1,259,0,
923018571705449133,Rental unit in Anderlecht · ★4.40 · 1 bedroom · 3 beds · 1 bath,479336340,Ahmed,,Anderlecht,50.840696444948854,4.33229656045258,Entire home/apt,96,1,5,2023-09-01,2.63,10,357,5,
923041047682795537,Rental unit in Schaerbeek · ★5.0 · Studio · 1 bath,424118065,Isabel,,Schaerbeek,50.85367,4.38825,Entire home/apt,79,5,3,2023-08-14,1.45,58,55,3,
923045711926767925,Rental unit in Saint-Gilles · 4 bedrooms · 4 beds · 2 baths,172298771,Yann,,Saint-Gilles,50.82609,4.35492,Entire home/apt,351,3,0,,,25,79,0,
923161217404009945,Home in Ixelles · 1 bedroom · 1 bed · 1.5 baths,27480676,Nour,,Ixelles,50.83426908598554,4.379162712639717,Private room,47,1,0,,,1,45,0,
923196835553370047,Rental unit in Auderghem · 1 bedroom · 1 bed · 1 bath,244035031,Clara,,Auderghem,50.82172689999999,4.4089619,Entire home/apt,100,3,0,,,1,199,0,
923213951902133770,Rental unit in Brussel · ★4.88 · 2 bedrooms · 3 beds · 1.5 baths,522386955,Nestor,,Bruxelles,50.84598,4.35504,Entire home/apt,295,1,16,2023-09-14,6.23,1,229,16,
923217781295643151,Home in Watermael-Boitsfort · 1 bedroom · 1 bed · 1 bath,17805180,Hervé,,Watermael-Boitsfort,50.80589172617747,4.4067035641873,Entire home/apt,70,30,0,,,1,351,0,
923236876236086103,Rental unit in Bruxelles · ★4.86 · 1 bedroom · 1 bed · 1 shared bath,457723875,Sora,,Bruxelles,50.850604101974525,4.3840199558197,Private room,54,1,14,2023-09-13,6.46,2,353,14,
923264229173105684,Rental unit in Saint-Gilles · 1 bedroom · 1 bed · 1 bath,42383534,Ionuț,,Saint-Gilles,50.83234244913343,4.350343080497372,Entire home/apt,72,7,1,2023-07-31,0.61,1,168,1,
923276877788555708,Rental unit in Bruxelles · ★4.92 · 1 bedroom · 1 bed · 1 shared bath,457723875,Sora,,Bruxelles,50.85066167747874,4.384052142327879,Private room,60,1,12,2023-09-10,4.68,2,331,12,
923585110346456631,Rental unit in Uccle · 1 bedroom · 1 bed · 1 bath,33390170,Charlotte,,Uccle,50.81015547853081,4.3664115534728865,Entire home/apt,110,4,0,,,1,0,0,
923609974376002895,Rental unit in Bruxelles · 1 bedroom · 1 bed · 1 bath,419323526,Edith,,Bruxelles,50.847706886618184,4.355414066418622,Entire home/apt,52,30,1,2023-07-28,0.58,49,0,1,
923611062621242129,Rental unit in Saint-Gilles · ★New · 1 bedroom · 1 bed · 1 private bath,154523516,Sara,,Saint-Gilles,50.83366730272658,4.356266082608007,Private room,65,2,1,2023-09-12,1,1,27,1,
923639023694002560,Rental unit in Bruxelles · 1 bedroom · 1 bed · 1 bath,445534753,Chris,,Bruxelles,50.84755744534563,4.349713817015385,Entire home/apt,69,30,0,,,35,0,0,
923650794883585060,Home in Forest · ★4.67 · 3 bedrooms · 3 beds · 3 baths,172298771,Yann,,Forest,50.8174,4.35005,Entire home/apt,145,3,3,2023-08-14,1.25,25,48,3,
923661061219409933,Rental unit in Bruxelles · 1 bedroom · 1 bed · 1 bath,30426034,Salvatore,,Bruxelles,50.8949073,4.4320385,Entire home/apt,75,4,0,,,3,224,0,
923683345012564972,Rental unit in Bruxelles · 1 bedroom · 1 bed · 1 bath,445534753,Chris,,Bruxelles,50.84371152865195,4.352435294819549,Entire home/apt,75,30,0,,,35,59,0,
923720263099431928,Rental unit in Bruxelles · ★4.86 · 1 bedroom · 3 beds · 1.5 baths,122228810,Yanfang,,Bruxelles,50.8978821,4.3590681,Entire home/apt,81,1,7,2023-09-09,4.77,1,50,7,
923751394707934864,Rental unit in Jette · 2 bedrooms · 2 beds · 1 bath,172298771,Yann,,Jette,50.88019932317701,4.325539853866751,Entire home/apt,120,3,0,,,25,269,0,
923777260801425848,Rental unit in Bruxelles · 2 bedrooms · 2 beds · 1.5 baths,44094031,Klee,,Saint-Gilles,50.8287556,4.3553584,Entire home/apt,164,14,0,,,1,256,0,
923909578529772309,Rental unit in Woluwe-Saint-Lambert · 1 bedroom · 1 bed · 1 bath,311078563,Maximilien,,Woluwe-Saint-Lambert,50.84027315846076,4.407841011648502,Entire home/apt,70,5,2,2023-08-15,1.46,2,325,2,
923933182271546546,Rental unit in Bruxelles · ★New · 2 bedrooms · 3 beds · 2 baths,498661556,Mario,,Bruxelles,50.86554331762193,4.358125627040863,Entire home/apt,230,1,1,2023-08-20,1,1,266,1,
924374183833239671,Rental unit in Schaerbeek · 3 bedrooms · 4 beds · 2 baths,522679517,Tommy,,Schaerbeek,50.8663636,4.3807366,Entire home/apt,180,6,2,2023-08-24,0.92,1,353,2,
924430727499346786,Rental unit in Molenbeek-Saint-Jean · 1 bedroom · 1 bed · 1 bath,227426913,Libia,,Molenbeek-Saint-Jean,50.855326377608534,4.306094612225822,Entire home/apt,85,4,2,2023-07-23,0.91,4,228,2,
924458570102550111,Home in Uccle · ★5.0 · 2 bedrooms · 2 beds · 1.5 baths,522700490,Rose,,Uccle,50.78773499532401,4.335097186267376,Private room,43,2,3,2023-08-15,1.64,3,0,3,
924462127362629777,Townhouse in Uccle · 1 bedroom · 1 bed · 1.5 shared baths,522700490,Rose,,Uccle,50.78481,4.33638,Private room,35,5,0,,,3,0,0,
924462134771410266,Home in Uccle · ★4.67 · 1 bedroom · 1 bed · 1 bath,522700490,Rose,,Uccle,50.7862,4.33438,Private room,35,3,3,2023-08-13,1.20,3,0,3,
924478744900462745,Home in Etterbeek · ★4.14 · 1 bedroom · 1 bed · 1 bath,153774458,Florian,,Etterbeek,50.831481897853806,4.385572538693225,Private room,66,2,7,2023-08-26,3.13,1,262,7,
924518257873026609,Rental unit in Schaerbeek · 1 bedroom · 1 bed · 1.5 baths,121800282,Atilla,,Schaerbeek,50.855757256506955,4.40334795862523,Entire home/apt,99,7,0,,,2,332,0,
924648254470353117,Home in Schaerbeek · 1 bedroom · 1 bed · 1 bath,12874509,Géraldine,,Schaerbeek,50.8559738,4.3926403,Entire home/apt,153,2,2,2023-08-15,1.18,1,0,2,
925092535101951262,Home in Schaerbeek · ★4.75 · 1 bedroom · 2 beds · 3 baths,221667802,Axel,,Schaerbeek,50.86435,4.37645,Private room,53,2,4,2023-08-19,1.69,1,0,4,
925105293442817968,Rental unit in Uccle · ★5.0 · 1 bedroom · 1 bed · 1 bath,44239689,Joyce,,Uccle,50.81086617825394,4.344854765606696,Entire home/apt,98,7,5,2023-08-14,2.14,1,30,5,
925165688365175270,Rental unit in Bruxelles · 1 bedroom · 1 bed · 1.5 baths,512497350,Jacques,,Bruxelles,50.8793217357246,4.34703737832265,Entire home/apt,45,2,0,,,1,27,0,
925224882262212977,Rental unit in Ixelles · ★5.0 · 1 bedroom · 1 bed · 1 bath,403013334,Damien,,Ixelles,50.8274017,4.369587999999999,Entire home/apt,90,3,4,2023-07-24,1.62,1,0,4,
925227144049308015,Rental unit in Saint-Gilles · ★4.09 · 1 bedroom · 1 bed · 1 bath,272267781,Yas,,Saint-Gilles,50.828206361683385,4.342647406975422,Entire home/apt,45,3,11,2023-08-27,4.46,2,98,11,
925228478791458020,Rental unit in Ixelles · 1 bedroom · 1 bed · Half-bath,270236408,Charles,,Ixelles,50.82537309196063,4.359831455542306,Private room,30,10,0,,,1,196,0,
